xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Class
0.23827,3684.4,4486.6,9.4474,26.925,42.111,2705.3,74.907,120.4,0.32984,80.132,51.541,2634.8,24.344,49.375,3101.5,23.056,65.713,230.3,342.06,94.556,77.416,32.325,8.7535,26.176,6.7826,18.798,1.6311,33.03,13.908,24.043,1.1496,18.586,2.2498,4.8192,2.304,0.010783,0.84706,0.097594,53.151,45.091,62.853,53.672,23.694,62.657,22.219,39.694,42.635,45.088,47.453,41.124,17.851,0
0.23856,3668.5,4487.1,9.3342,26.778,43.105,2705.6,75.361,120.38,0.33004,80.119,51.326,2633.3,25.755,50.332,3102.4,22.876,65.727,228.77,341.47,94.629,77.151,32.325,8.7535,26.176,6.7826,18.798,1.6311,33.03,13.908,24.043,1.1496,18.586,2.2498,4.8192,2.304,0.010783,0.84706,0.097594,53.151,45.091,63.128,53.667,23.666,63.115,22.138,39.67,42.003,47.302,47.588,41.481,18.292,0
0.2376,3709.5,4445.7,9.445,26.914,42.366,2704.0,75.088,120.39,0.35132,80.075,50.191,2632.0,25.593,49.279,3101.6,21.511,65.737,230.23,341.47,94.534,77.285,32.606,8.8335,26.79,6.9609,18.859,1.6167,32.798,13.642,23.911,1.2964,18.429,2.2679,4.8056,2.2905,0.02583,0.84498,0.11385,53.334,43.408,63.268,54.58,23.057,59.546,22.167,40.769,38.663,44.864,47.759,41.281,21.529,0
0.23472,3713.9,4499.7,9.3364,26.766,42.544,2703.1,75.524,120.38,0.3465,79.988,50.079,2632.2,25.442,50.21,3100.7,23.166,65.711,233.51,341.6,94.604,77.042,32.606,8.8335,26.79,6.9609,18.859,1.6167,32.798,13.642,23.911,1.2964,18.429,2.2679,4.8056,2.2905,0.02583,0.84498,0.11385,53.334,43.408,63.193,53.934,23.34,60.715,22.211,41.356,38.331,47.019,47.599,41.121,17.629,0
0.20548,3604.9,4490.8,9.2837,26.857,42.336,2704.2,74.694,120.4,0.31893,80.153,51.763,2633.4,27.539,50.278,3100.3,24.008,65.71,231.91,341.2,94.506,77.842,32.104,8.9718,26.596,7.0383,18.741,1.6185,33.206,13.858,24.2,1.1175,18.141,2.2835,4.8735,2.2894,0.02583,0.84498,0.11385,53.334,43.408,63.515,53.882,20.3,60.828,22.374,37.537,43.289,47.177,47.871,40.506,15.569,0
0.20633,3643.3,4508.4,9.3006,26.624,42.116,2707.7,75.508,120.41,0.31896,80.523,49.557,2637.8,25.639,50.85,3102.5,21.745,65.834,231.23,341.42,94.73,77.517,32.104,8.9718,26.596,7.0383,18.741,1.6185,33.206,13.858,24.2,1.1175,18.141,2.2835,4.8735,2.2894,0.02583,0.84498,0.11385,53.334,43.408,62.854,53.671,20.217,62.694,22.591,37.532,36.797,48.501,48.057,40.554,20.929,0
0.2524,3621.8,4478.9,9.3555,26.955,42.314,2705.6,75.641,120.38,0.34195,80.262,51.186,2634.6,26.585,49.215,3103.2,23.059,65.9,232.86,341.28,94.557,77.065,31.989,8.9628,26.356,6.8784,18.705,1.6679,33.223,13.654,23.788,1.1863,18.297,2.2765,4.8076,2.3016,0.02583,0.84498,0.11385,53.334,43.408,62.434,54.307,24.905,62.4,22.158,40.39,41.589,44.718,48.033,41.171,17.838,0
0.2535,3626.9,4528.3,9.4002,26.523,42.258,2705.9,74.397,120.41,0.34016,80.026,49.233,2633.7,23.845,49.716,3101.4,22.806,65.861,233.06,341.42,94.837,77.187,31.989,8.9628,26.356,6.8784,18.705,1.6679,33.223,13.654,23.788,1.1863,18.297,2.2765,4.8076,2.3016,0.029665,0.84146,0.095579,54.892,43.745,62.347,53.716,24.798,60.141,22.15,40.608,35.844,45.877,48.107,40.3,18.445,0
0.2655,3682.6,4503.7,9.423,26.891,42.497,2705.5,75.243,120.4,0.31628,79.841,50.526,2634.1,24.534,50.189,3103.2,22.407,65.801,233.72,341.58,94.622,76.737,32.397,9.0231,26.185,6.8033,18.9,1.6594,32.392,13.807,23.924,1.1747,18.638,2.2734,4.8457,2.2943,0.029665,0.84146,0.095579,54.892,43.745,62.719,54.109,26.093,60.139,22.075,37.969,39.648,46.971,48.163,40.948,19.446,0
0.26605,3652.7,4479.7,9.3833,26.901,42.231,2707.6,74.641,120.4,0.32031,79.924,50.31,2636.7,26.716,50.172,3104.4,22.069,65.74,234.86,341.85,94.58,77.127,32.397,9.0231,26.185,6.8033,18.9,1.6594,32.392,13.807,23.924,1.1747,18.638,2.2734,4.8457,2.2943,0.029665,0.84146,0.095579,54.892,43.745,63.233,54.396,26.039,61.71,22.463,37.477,39.011,46.933,48.179,40.688,20.233,0
0.22477,3701.4,4465.0,9.4451,27.151,42.496,2706.8,75.212,120.42,0.33375,79.921,49.734,2635.7,26.856,50.917,3105.8,22.848,65.738,234.86,341.65,94.634,77.286,31.898,8.9971,25.759,6.9715,18.717,1.6779,33.057,13.906,24.029,1.2667,18.454,2.2635,4.9072,2.2581,0.029665,0.84146,0.095579,54.892,43.745,63.093,54.09,22.33,59.815,22.517,39.81,37.318,48.655,48.295,41.286,18.372,0
0.22413,3695.9,4461.1,9.3857,27.406,42.509,2707.3,74.116,120.43,0.33365,80.041,49.813,2636.2,25.604,51.023,3105.4,22.893,65.749,234.42,341.47,94.464,77.483,31.898,8.9971,25.759,6.9715,18.717,1.6779,33.057,13.906,24.029,1.2667,18.454,2.2635,4.9072,2.2581,0.029665,0.84146,0.095579,54.892,43.745,63.187,54.136,22.393,60.616,22.456,39.822,37.548,48.903,48.449,41.337,18.252,0
0.27526,3659.8,4520.2,9.4123,26.72,42.152,2711.1,74.709,120.41,0.34208,80.378,51.469,2639.9,23.54,51.215,3107.0,22.507,65.833,233.33,341.85,94.551,78.148,32.019,8.8449,26.159,6.76,18.761,1.6371,32.792,13.852,24.135,1.302,18.52,2.2999,4.7781,2.22,0.015578,0.84005,0.12053,53.308,44.383,62.327,53.873,26.926,61.171,22.472,41.472,42.423,49.346,48.579,41.405,19.097,0
0.27503,3644.0,4538.0,9.3223,27.085,42.486,2712.0,74.74,120.4,0.34305,80.491,50.291,2641.2,25.029,50.843,3109.7,23.076,65.958,235.33,341.56,94.604,77.535,32.019,8.8449,26.159,6.76,18.761,1.6371,32.792,13.852,24.135,1.302,18.52,2.2999,4.7781,2.22,0.015578,0.84005,0.12053,53.308,44.383,62.6,53.66,26.949,60.728,22.269,41.353,38.955,48.484,48.472,41.016,17.753,0
0.2672,3683.2,4514.2,9.4977,27.112,42.669,2710.5,75.675,120.39,0.33881,80.188,50.842,2639.0,25.341,48.106,3107.4,22.757,65.982,233.6,341.69,94.443,77.307,32.196,8.8958,26.629,6.8299,18.569,1.6684,32.996,13.799,24.32,1.1725,18.661,2.2908,4.8357,2.2249,0.015578,0.84005,0.12053,53.308,44.383,63.796,53.843,25.888,62.124,22.624,40.513,40.579,42.15,48.695,41.676,18.523,0
0.26672,3709.6,4535.7,9.3637,26.825,42.395,2707.6,75.064,120.37,0.34297,79.886,49.484,2636.6,24.479,50.323,3104.4,22.789,65.914,233.87,342.21,94.52,77.035,32.196,8.8958,26.629,6.8299,18.569,1.6684,32.996,13.799,24.32,1.1725,18.661,2.2908,4.8357,2.2249,0.015578,0.84005,0.12053,53.308,44.383,63.342,53.586,25.936,60.625,22.633,40.005,36.581,47.283,48.747,40.963,18.496,0
0.25064,3686.2,4532.4,9.4266,26.701,42.532,2707.3,74.679,120.39,0.33083,79.925,49.117,2637.0,23.724,51.584,3103.7,22.452,65.857,236.35,342.25,94.478,77.186,32.162,8.9382,26.309,6.9237,18.752,1.6868,32.754,13.832,23.854,1.172,18.884,2.2385,4.9635,2.3159,0.015578,0.84005,0.12053,53.308,44.383,63.213,54.116,24.319,59.266,22.407,40.069,35.501,50.2,48.606,41.007,19.296,0
0.24891,3698.9,4520.4,9.3874,26.492,42.185,2707.1,75.083,120.39,0.33274,79.911,47.749,2635.5,25.116,49.535,3104.3,23.543,65.859,235.77,342.15,94.648,77.262,32.162,8.9382,26.309,6.9237,18.752,1.6868,32.754,13.832,23.854,1.172,18.884,2.2385,4.9635,2.3159,0.034215,0.82892,0.098625,54.05,43.495,62.995,54.259,24.489,59.545,22.111,39.836,31.476,45.459,48.709,40.339,16.703,0
0.25517,3657.0,4519.3,9.2543,26.833,42.372,2706.1,74.907,120.4,0.33731,79.964,50.521,2635.4,25.643,49.824,3102.8,23.4,65.851,237.35,342.15,94.492,77.226,32.095,8.7875,26.44,6.8521,18.616,1.6414,33.185,13.916,23.929,1.1908,18.394,2.2742,4.77,2.2541,0.034215,0.82892,0.098625,54.05,43.495,62.897,53.841,24.533,62.03,22.354,40.145,39.634,46.127,48.635,41.365,17.052,0
0.25133,3685.9,4522.4,9.2884,27.14,42.075,2706.6,75.212,120.39,0.33637,79.987,52.987,2635.1,24.194,50.715,3103.2,21.977,65.845,234.9,341.68,94.701,77.206,32.095,8.7875,26.44,6.8521,18.616,1.6414,33.185,13.916,23.929,1.1908,18.394,2.2742,4.77,2.2541,0.034215,0.82892,0.098625,54.05,43.495,62.399,53.804,24.911,62.092,22.297,40.26,46.891,48.189,48.919,41.038,20.429,0
0.25893,3680.5,4539.0,9.4608,27.225,42.526,2705.4,75.631,120.38,0.34449,79.948,50.207,2634.4,25.777,50.08,3103.6,22.622,65.884,233.89,341.79,94.433,77.123,32.345,8.8472,26.426,6.837,18.976,1.6626,32.968,13.845,23.608,1.325,18.704,2.2407,4.9163,2.3296,0.034215,0.82892,0.098625,54.05,43.495,63.115,53.954,25.574,62.212,22.35,41.596,38.71,46.719,49.075,41.13,18.911,0
0.25862,3642.1,4535.6,9.387,27.149,42.276,2706.9,75.085,120.42,0.34858,80.041,49.12,2636.4,24.531,49.406,3103.7,23.491,65.902,237.09,342.29,94.62,77.475,32.345,8.8472,26.426,6.837,18.976,1.6626,32.968,13.845,23.608,1.325,18.704,2.2407,4.9163,2.3296,0.034215,0.82892,0.098625,54.05,43.495,63.776,53.994,25.605,60.579,22.73,41.098,35.511,45.16,48.854,41.2,16.821,0
0.23407,3662.5,4493.7,9.3171,26.857,42.445,2707.9,74.712,120.4,0.33989,80.281,52.156,2637.0,24.281,49.173,3104.0,21.512,65.938,236.32,341.75,94.426,77.505,31.92,8.7372,26.715,6.9346,18.367,1.6728,33.36,13.644,24.32,1.2849,18.268,2.2549,4.8556,2.4291,0.0024774,0.8268,0.10544,54.026,43.253,63.593,53.61,23.186,61.172,22.39,40.348,44.444,44.619,48.696,40.901,21.499,0
0.23603,3682.0,4515.6,9.2985,26.951,42.651,2705.3,76.019,120.41,0.33899,80.165,48.17,2634.4,24.73,52.08,3103.3,23.204,65.983,236.06,341.63,94.633,77.351,31.92,8.7372,26.715,6.9346,18.367,1.6728,33.36,13.644,24.32,1.2849,18.268,2.2549,4.8556,2.4291,0.0024774,0.8268,0.10544,54.026,43.253,63.258,53.348,22.993,60.814,22.163,40.457,32.714,51.348,48.655,41.469,17.491,0
0.27556,3648.7,4482.7,9.3354,26.747,42.897,2705.0,75.217,120.38,0.31787,79.986,50.326,2632.8,26.089,50.032,3102.6,22.931,65.951,235.52,341.49,94.511,77.063,32.031,8.9379,26.461,6.7774,18.721,1.6411,32.577,13.899,24.071,1.3437,18.321,2.2699,4.883,2.2911,0.0024774,0.8268,0.10544,54.026,43.253,62.972,55.255,27.304,62.123,22.091,37.553,39.06,46.608,48.64,40.449,18.165,0
0.27499,3671.9,4563.7,9.3405,27.092,42.458,2708.1,75.779,120.39,0.31749,80.044,51.712,2636.7,24.668,48.938,3103.2,22.134,65.913,233.23,341.83,94.692,77.289,32.031,8.9379,26.461,6.7774,18.721,1.6411,32.577,13.899,24.071,1.3437,18.321,2.2699,4.883,2.2911,0.0024774,0.8268,0.10544,54.026,43.253,62.571,54.286,27.359,60.35,22.705,37.6,43.137,44.076,48.783,40.647,20.055,0
0.26767,3711.5,4542.0,9.3118,26.989,42.554,2705.6,75.637,120.42,0.34317,79.939,50.682,2633.9,24.655,50.06,3102.8,22.831,65.9,235.15,341.29,94.416,76.926,32.563,8.8442,26.435,6.9105,19.306,1.6314,32.918,13.862,24.479,1.2794,18.383,2.3096,4.8175,2.3131,0.0024774,0.8268,0.10544,54.026,43.253,63.293,53.714,26.404,59.434,22.307,41.194,40.106,46.674,48.552,41.35,18.427,0
0.26796,3673.2,4538.6,9.3541,27.078,42.164,2704.6,75.375,120.41,0.34669,79.883,48.931,2633.5,25.652,52.46,3101.5,22.724,65.837,233.73,341.8,94.65,77.091,32.563,8.8442,26.435,6.9105,19.306,1.6314,32.918,13.862,24.479,1.2794,18.383,2.3096,4.8175,2.3131,0.030735,0.82973,0.09532,54.479,43.325,63.953,53.756,26.376,61.816,22.302,40.764,34.955,52.228,48.554,41.092,18.691,0
0.21901,3674.5,4499.4,9.3598,26.606,42.266,2705.1,75.344,120.39,0.339,80.115,50.942,2633.9,24.794,51.556,3099.9,21.76,65.824,236.1,341.68,94.449,77.593,32.064,8.964,26.389,6.8819,18.545,1.6588,33.361,13.804,24.336,1.0518,18.477,2.2377,4.7466,2.1755,0.030735,0.82973,0.09532,54.479,43.325,62.799,52.75,20.855,58.384,22.599,40.794,40.874,50.136,48.256,40.948,20.94,0
0.21513,3656.4,4461.2,9.2196,26.955,42.584,2703.8,74.173,120.41,0.33862,80.217,50.179,2633.3,24.899,50.972,3099.5,23.043,65.872,233.22,341.66,94.693,77.405,32.064,8.964,26.389,6.8819,18.545,1.6588,33.361,13.804,24.336,1.0518,18.477,2.2377,4.7466,2.1755,0.030735,0.82973,0.09532,54.479,43.325,63.11,53.208,21.237,61.474,22.43,40.841,38.628,48.783,48.421,41.321,17.892,0
0.26064,3671.7,4515.1,9.4204,26.692,42.803,2702.5,74.564,120.39,0.3339,80.121,49.207,2631.1,24.297,52.345,3100.8,23.216,65.888,232.88,341.28,94.631,77.176,32.246,8.7137,26.059,6.946,18.925,1.6068,32.964,13.803,23.884,1.1721,18.956,2.3126,4.8112,2.3166,0.030735,0.82973,0.09532,54.479,43.325,63.085,54.404,25.984,60.46,21.942,39.899,35.765,51.961,48.357,41.26,17.496,0
0.26374,3706.7,4526.9,9.4332,26.837,42.433,2704.3,75.069,120.42,0.33438,80.205,50.652,2632.6,23.176,49.079,3102.9,23.03,65.919,233.49,341.25,94.659,77.395,32.246,8.7137,26.059,6.946,18.925,1.6068,32.964,13.803,23.884,1.1721,18.956,2.3126,4.8112,2.3166,0.030735,0.82973,0.09532,54.479,43.325,62.482,54.263,25.679,60.657,21.772,39.841,40.018,44.403,48.211,41.427,17.915,0
0.24318,3650.5,4487.6,9.282,26.833,42.185,2702.5,75.834,120.4,0.33812,80.049,51.064,2630.5,23.525,50.9,3099.9,23.082,65.894,233.93,340.94,94.61,77.014,32.129,9.0411,26.226,6.9634,18.326,1.6827,32.964,13.752,24.184,1.2466,18.623,2.283,4.8746,2.1895,0.0205,0.83001,0.1089,54.298,44.697,62.857,53.806,24.32,62.009,22.015,39.323,41.232,48.616,48.145,41.629,17.826,0
0.24408,3657.9,4515.6,9.3117,26.629,42.314,2703.1,74.371,120.4,0.33422,80.059,50.843,2631.8,24.666,50.479,3099.5,22.009,65.865,231.81,341.38,94.719,77.001,32.129,9.0411,26.226,6.9634,18.326,1.6827,32.964,13.752,24.184,1.2466,18.623,2.283,4.8746,2.1895,0.0205,0.83001,0.1089,54.298,44.697,62.728,53.471,24.231,62.137,22.393,39.798,40.581,47.643,48.272,41.675,20.378,0
0.25615,3662.5,4544.3,9.2162,27.154,42.278,2703.3,76.21,120.39,0.32919,80.023,49.23,2632.3,24.351,49.638,3099.5,23.048,65.835,231.51,341.26,94.713,77.342,32.268,8.799,26.132,6.8804,18.96,1.6534,33.174,13.984,24.271,1.2182,18.528,2.2445,4.8347,2.3922,0.0205,0.83001,0.1089,54.298,44.697,62.429,54.624,25.266,63.32,22.558,38.971,35.834,45.696,48.236,40.622,17.896,0
0.25602,3632.6,4600.8,9.3081,26.854,42.304,2705.6,74.442,120.4,0.32847,80.174,51.025,2634.0,25.818,48.834,3102.7,23.183,65.83,232.74,341.18,94.723,77.392,32.268,8.799,26.132,6.8804,18.96,1.6534,33.174,13.984,24.271,1.2182,18.528,2.2445,4.8347,2.3922,0.0205,0.83001,0.1089,54.298,44.697,62.945,53.948,25.278,61.025,22.089,39.059,41.118,43.835,48.067,41.152,17.566,0
0.24268,3699.2,4517.7,9.3546,27.106,42.107,2704.2,74.921,120.4,0.35175,80.168,50.003,2632.8,24.619,50.928,3102.8,22.687,65.836,232.93,341.12,94.586,77.336,32.55,8.983,26.372,6.9893,18.82,1.6411,33.311,13.848,24.141,1.3922,18.683,2.2541,4.819,2.2592,0.0205,0.83001,0.1089,54.298,44.697,62.488,53.408,23.93,61.888,22.227,42.512,38.109,48.682,47.987,40.596,18.742,0
0.24331,3675.4,4509.5,9.4677,26.784,42.414,2704.5,74.761,120.42,0.35964,80.131,50.288,2632.8,24.036,49.274,3099.8,23.44,65.867,233.61,341.53,94.693,77.337,32.55,8.983,26.372,6.9893,18.82,1.6411,33.311,13.848,24.141,1.3922,18.683,2.2541,4.819,2.2592,0.029119,0.83292,0.094024,53.971,44.838,62.898,53.506,23.869,59.563,22.307,41.55,38.949,44.853,47.86,40.754,16.955,0
0.21421,3675.0,4505.2,9.2907,26.758,42.82,2702.2,74.135,120.37,0.34275,80.108,51.188,2629.7,24.501,51.275,3099.8,22.737,65.857,231.67,341.23,94.689,77.066,31.367,8.8653,26.17,6.7768,18.611,1.6625,32.768,13.894,23.855,1.4616,19.124,2.231,4.8501,2.2871,0.029119,0.83292,0.094024,53.971,44.838,61.899,53.883,20.899,62.849,21.755,40.092,41.596,49.485,47.971,39.955,18.645,0
0.21397,3669.7,4504.7,9.3953,27.076,42.35,2704.4,75.069,120.42,0.33756,80.26,50.05,2633.3,24.756,49.88,3100.4,22.648,65.844,232.34,341.14,94.716,77.579,31.367,8.8653,26.17,6.7768,18.611,1.6625,32.768,13.894,23.855,1.4616,19.124,2.231,4.8501,2.2871,0.029119,0.83292,0.094024,53.971,44.838,61.991,53.889,20.923,61.503,22.267,40.725,38.248,46.256,47.847,42.005,18.811,0
0.33078,3708.6,4518.9,9.3831,27.071,42.365,2706.1,75.402,120.4,0.34371,80.219,50.213,2635.6,24.916,50.264,3104.4,23.025,65.849,231.9,341.09,94.547,77.51,32.188,8.9979,26.209,7.0414,18.606,1.6901,32.757,13.771,23.834,1.2275,18.788,2.2735,4.8698,2.2205,0.029119,0.83292,0.094024,53.971,44.838,63.184,54.242,32.416,60.682,22.382,41.277,38.727,47.144,47.824,40.763,17.916,0
0.33037,3704.2,4534.5,9.2886,27.078,42.42,2706.6,74.972,120.46,0.34644,80.26,49.139,2635.9,25.242,48.221,3106.1,22.386,65.856,229.03,340.95,94.514,77.346,32.188,8.9979,26.209,7.0414,18.606,1.6901,32.757,13.771,23.834,1.2275,18.788,2.2735,4.8698,2.2205,0.029119,0.83292,0.094024,53.971,44.838,63.261,54.056,32.457,60.072,22.061,40.943,35.565,42.418,48.016,42.036,19.437,0
0.25531,3626.1,4562.3,9.3301,26.619,42.186,2705.5,75.606,120.38,0.33252,80.14,51.617,2634.9,26.916,51.158,3102.9,23.099,65.852,231.93,341.48,94.545,76.927,32.02,8.8491,26.413,6.9721,18.395,1.6509,32.746,13.776,23.769,1.357,19.111,2.285,4.8188,2.2697,0.01569,0.83741,0.089476,53.907,44.241,62.258,53.762,25.054,60.433,22.209,39.369,42.858,49.214,47.762,40.367,17.786,0
0.25468,3615.0,4554.5,9.3953,26.685,42.604,2703.8,75.284,120.4,0.32978,79.843,49.681,2632.3,26.239,50.569,3101.0,23.551,65.776,231.39,341.61,94.757,76.894,32.02,8.8491,26.413,6.9721,18.395,1.6509,32.746,13.776,23.769,1.357,19.111,2.285,4.8188,2.2697,0.01569,0.83741,0.089476,53.907,44.241,62.449,53.856,25.117,59.727,22.074,39.702,37.161,47.851,47.779,42.258,16.733,0
0.27349,3613.0,4515.4,9.3848,26.95,42.57,2705.6,75.125,120.38,0.33277,79.88,50.048,2634.6,24.654,50.852,3102.6,23.675,65.696,232.38,341.81,94.656,77.322,31.953,9.0324,25.752,6.8823,18.697,1.6943,33.033,13.741,24.454,1.3167,18.762,2.236,4.9173,2.2669,0.01569,0.83741,0.089476,53.907,44.241,62.973,54.889,26.631,61.695,22.436,39.404,38.242,48.505,47.667,40.022,16.422,0
0.27252,3645.0,4490.9,9.2359,26.638,42.217,2709.9,74.979,120.4,0.33341,80.183,50.146,2638.7,25.524,48.563,3105.7,24.279,65.747,231.61,341.7,94.674,77.811,31.953,9.0324,25.752,6.8823,18.697,1.6943,33.033,13.741,24.454,1.3167,18.762,2.236,4.9173,2.2669,0.01569,0.83741,0.089476,53.907,44.241,62.422,55.182,26.726,61.804,22.55,39.326,38.529,43.208,47.704,41.417,14.934,0
0.28081,3661.3,4518.1,9.2912,27.08,42.151,2711.9,74.824,120.42,0.33018,80.423,50.657,2641.3,25.89,50.573,3108.3,23.077,65.795,231.42,342.05,94.411,77.476,32.358,9.0456,26.021,7.0489,19.149,1.6318,32.762,13.84,24.152,1.4042,18.342,2.2577,4.7372,2.3454,0.01569,0.83741,0.089476,53.907,44.241,62.888,54.152,27.609,64.564,22.73,38.682,40.034,47.86,47.687,41.117,17.783,0
0.28007,3675.3,4513.0,9.3277,27.028,42.341,2711.1,74.38,120.44,0.33077,80.307,49.894,2640.2,25.066,49.433,3107.5,23.844,65.878,231.84,341.93,94.644,77.414,32.358,9.0456,26.021,7.0489,19.149,1.6318,32.762,13.84,24.152,1.4042,18.342,2.2577,4.7372,2.3454,0.018168,0.84062,0.085383,54.212,44.745,62.646,54.214,27.681,62.752,22.481,38.61,37.787,45.222,47.726,41.392,15.951,0
0.24161,3649.9,4456.7,9.3506,26.881,42.474,2706.5,74.834,120.37,0.34032,79.985,50.954,2635.8,22.842,49.598,3102.4,22.47,65.835,231.27,342.33,94.626,76.916,32.041,8.917,26.543,6.8149,19.03,1.6758,33.035,13.742,23.542,1.0393,18.109,2.3137,4.8487,2.1918,0.018168,0.84062,0.085383,54.212,44.745,61.543,53.753,23.821,61.289,22.662,40.049,40.907,45.604,47.794,40.47,19.264,0
