xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Class
94.62,77.475,32.345,8.8472,26.426,6.837,18.976,1.6626,32.968,13.845,23.608,1.325,18.704,2.2407,4.9163,2.3296,0.034215,0.82892,0.098625,54.05,43.495,63.776,53.994,25.605,60.579,22.73,41.098,35.511,45.16,48.854,41.2,16.821,0
94.426,77.505,31.92,8.7372,26.715,6.9346,18.367,1.6728,33.36,13.644,24.32,1.2849,18.268,2.2549,4.8556,2.4291,0.0024774,0.8268,0.10544,54.026,43.253,63.593,53.61,23.186,61.172,22.39,40.348,44.444,44.619,48.696,40.901,21.499,0
94.633,77.351,31.92,8.7372,26.715,6.9346,18.367,1.6728,33.36,13.644,24.32,1.2849,18.268,2.2549,4.8556,2.4291,0.0024774,0.8268,0.10544,54.026,43.253,63.258,53.348,22.993,60.814,22.163,40.457,32.714,51.348,48.655,41.469,17.491,0
94.511,77.063,32.031,8.9379,26.461,6.7774,18.721,1.6411,32.577,13.899,24.071,1.3437,18.321,2.2699,4.883,2.2911,0.0024774,0.8268,0.10544,54.026,43.253,62.972,55.255,27.304,62.123,22.091,37.553,39.06,46.608,48.64,40.449,18.165,0
94.692,77.289,32.031,8.9379,26.461,6.7774,18.721,1.6411,32.577,13.899,24.071,1.3437,18.321,2.2699,4.883,2.2911,0.0024774,0.8268,0.10544,54.026,43.253,62.571,54.286,27.359,60.35,22.705,37.6,43.137,44.076,48.783,40.647,20.055,0
94.416,76.926,32.563,8.8442,26.435,6.9105,19.306,1.6314,32.918,13.862,24.479,1.2794,18.383,2.3096,4.8175,2.3131,0.0024774,0.8268,0.10544,54.026,43.253,63.293,53.714,26.404,59.434,22.307,41.194,40.106,46.674,48.552,41.35,18.427,0
94.65,77.091,32.563,8.8442,26.435,6.9105,19.306,1.6314,32.918,13.862,24.479,1.2794,18.383,2.3096,4.8175,2.3131,0.030735,0.82973,0.09532,54.479,43.325,63.953,53.756,26.376,61.816,22.302,40.764,34.955,52.228,48.554,41.092,18.691,0
94.449,77.593,32.064,8.964,26.389,6.8819,18.545,1.6588,33.361,13.804,24.336,1.0518,18.477,2.2377,4.7466,2.1755,0.030735,0.82973,0.09532,54.479,43.325,62.799,52.75,20.855,58.384,22.599,40.794,40.874,50.136,48.256,40.948,20.94,0
94.693,77.405,32.064,8.964,26.389,6.8819,18.545,1.6588,33.361,13.804,24.336,1.0518,18.477,2.2377,4.7466,2.1755,0.030735,0.82973,0.09532,54.479,43.325,63.11,53.208,21.237,61.474,22.43,40.841,38.628,48.783,48.421,41.321,17.892,0
94.631,77.176,32.246,8.7137,26.059,6.946,18.925,1.6068,32.964,13.803,23.884,1.1721,18.956,2.3126,4.8112,2.3166,0.030735,0.82973,0.09532,54.479,43.325,63.085,54.404,25.984,60.46,21.942,39.899,35.765,51.961,48.357,41.26,17.496,0
94.659,77.395,32.246,8.7137,26.059,6.946,18.925,1.6068,32.964,13.803,23.884,1.1721,18.956,2.3126,4.8112,2.3166,0.030735,0.82973,0.09532,54.479,43.325,62.482,54.263,25.679,60.657,21.772,39.841,40.018,44.403,48.211,41.427,17.915,0
94.61,77.014,32.129,9.0411,26.226,6.9634,18.326,1.6827,32.964,13.752,24.184,1.2466,18.623,2.283,4.8746,2.1895,0.0205,0.83001,0.1089,54.298,44.697,62.857,53.806,24.32,62.009,22.015,39.323,41.232,48.616,48.145,41.629,17.826,0
94.719,77.001,32.129,9.0411,26.226,6.9634,18.326,1.6827,32.964,13.752,24.184,1.2466,18.623,2.283,4.8746,2.1895,0.0205,0.83001,0.1089,54.298,44.697,62.728,53.471,24.231,62.137,22.393,39.798,40.581,47.643,48.272,41.675,20.378,0
94.713,77.342,32.268,8.799,26.132,6.8804,18.96,1.6534,33.174,13.984,24.271,1.2182,18.528,2.2445,4.8347,2.3922,0.0205,0.83001,0.1089,54.298,44.697,62.429,54.624,25.266,63.32,22.558,38.971,35.834,45.696,48.236,40.622,17.896,0
94.723,77.392,32.268,8.799,26.132,6.8804,18.96,1.6534,33.174,13.984,24.271,1.2182,18.528,2.2445,4.8347,2.3922,0.0205,0.83001,0.1089,54.298,44.697,62.945,53.948,25.278,61.025,22.089,39.059,41.118,43.835,48.067,41.152,17.566,0
94.586,77.336,32.55,8.983,26.372,6.9893,18.82,1.6411,33.311,13.848,24.141,1.3922,18.683,2.2541,4.819,2.2592,0.0205,0.83001,0.1089,54.298,44.697,62.488,53.408,23.93,61.888,22.227,42.512,38.109,48.682,47.987,40.596,18.742,0
94.693,77.337,32.55,8.983,26.372,6.9893,18.82,1.6411,33.311,13.848,24.141,1.3922,18.683,2.2541,4.819,2.2592,0.029119,0.83292,0.094024,53.971,44.838,62.898,53.506,23.869,59.563,22.307,41.55,38.949,44.853,47.86,40.754,16.955,0
94.689,77.066,31.367,8.8653,26.17,6.7768,18.611,1.6625,32.768,13.894,23.855,1.4616,19.124,2.231,4.8501,2.2871,0.029119,0.83292,0.094024,53.971,44.838,61.899,53.883,20.899,62.849,21.755,40.092,41.596,49.485,47.971,39.955,18.645,0
94.716,77.579,31.367,8.8653,26.17,6.7768,18.611,1.6625,32.768,13.894,23.855,1.4616,19.124,2.231,4.8501,2.2871,0.029119,0.83292,0.094024,53.971,44.838,61.991,53.889,20.923,61.503,22.267,40.725,38.248,46.256,47.847,42.005,18.811,0
94.547,77.51,32.188,8.9979,26.209,7.0414,18.606,1.6901,32.757,13.771,23.834,1.2275,18.788,2.2735,4.8698,2.2205,0.029119,0.83292,0.094024,53.971,44.838,63.184,54.242,32.416,60.682,22.382,41.277,38.727,47.144,47.824,40.763,17.916,0
94.514,77.346,32.188,8.9979,26.209,7.0414,18.606,1.6901,32.757,13.771,23.834,1.2275,18.788,2.2735,4.8698,2.2205,0.029119,0.83292,0.094024,53.971,44.838,63.261,54.056,32.457,60.072,22.061,40.943,35.565,42.418,48.016,42.036,19.437,0
94.545,76.927,32.02,8.8491,26.413,6.9721,18.395,1.6509,32.746,13.776,23.769,1.357,19.111,2.285,4.8188,2.2697,0.01569,0.83741,0.089476,53.907,44.241,62.258,53.762,25.054,60.433,22.209,39.369,42.858,49.214,47.762,40.367,17.786,0
94.757,76.894,32.02,8.8491,26.413,6.9721,18.395,1.6509,32.746,13.776,23.769,1.357,19.111,2.285,4.8188,2.2697,0.01569,0.83741,0.089476,53.907,44.241,62.449,53.856,25.117,59.727,22.074,39.702,37.161,47.851,47.779,42.258,16.733,0
94.656,77.322,31.953,9.0324,25.752,6.8823,18.697,1.6943,33.033,13.741,24.454,1.3167,18.762,2.236,4.9173,2.2669,0.01569,0.83741,0.089476,53.907,44.241,62.973,54.889,26.631,61.695,22.436,39.404,38.242,48.505,47.667,40.022,16.422,0
94.674,77.811,31.953,9.0324,25.752,6.8823,18.697,1.6943,33.033,13.741,24.454,1.3167,18.762,2.236,4.9173,2.2669,0.01569,0.83741,0.089476,53.907,44.241,62.422,55.182,26.726,61.804,22.55,39.326,38.529,43.208,47.704,41.417,14.934,0
94.411,77.476,32.358,9.0456,26.021,7.0489,19.149,1.6318,32.762,13.84,24.152,1.4042,18.342,2.2577,4.7372,2.3454,0.01569,0.83741,0.089476,53.907,44.241,62.888,54.152,27.609,64.564,22.73,38.682,40.034,47.86,47.687,41.117,17.783,0
94.644,77.414,32.358,9.0456,26.021,7.0489,19.149,1.6318,32.762,13.84,24.152,1.4042,18.342,2.2577,4.7372,2.3454,0.018168,0.84062,0.085383,54.212,44.745,62.646,54.214,27.681,62.752,22.481,38.61,37.787,45.222,47.726,41.392,15.951,0
94.626,76.916,32.041,8.917,26.543,6.8149,19.03,1.6758,33.035,13.742,23.542,1.0393,18.109,2.3137,4.8487,2.1918,0.018168,0.84062,0.085383,54.212,44.745,61.543,53.753,23.821,61.289,22.662,40.049,40.907,45.604,47.794,40.47,19.264,0
94.856,77.151,32.041,8.917,26.543,6.8149,19.03,1.6758,33.035,13.742,23.542,1.0393,18.109,2.3137,4.8487,2.1918,0.018168,0.84062,0.085383,54.212,44.745,62.485,52.713,23.74,62.77,22.57,40.323,30.811,45.41,47.876,41.167,21.47,0
94.727,76.964,32.277,8.8652,26.207,6.9462,18.83,1.6573,33.107,13.93,23.964,1.2049,18.411,2.262,4.8099,2.2215,0.018168,0.84062,0.085383,54.212,44.745,62.88,53.157,26.974,62.576,22.64,38.777,38.207,45.559,47.742,40.251,18.074,0
94.673,77.04,32.277,8.8652,26.207,6.9462,18.83,1.6573,33.107,13.93,23.964,1.2049,18.411,2.262,4.8099,2.2215,0.018168,0.84062,0.085383,54.212,44.745,62.969,53.484,26.802,60.76,22.955,38.923,39.87,47.775,47.744,42.367,19.242,0
94.638,77.116,32.695,8.7842,26.472,6.8323,18.677,1.669,33.031,13.893,23.847,1.4206,18.412,2.2843,4.7877,2.278,0.015942,0.83592,0.099036,53.515,44.832,62.731,54.325,24.525,61.991,22.661,41.301,41.232,50.108,47.886,40.67,16.889,0
94.691,77.462,32.695,8.7842,26.472,6.8323,18.677,1.669,33.031,13.893,23.847,1.4206,18.412,2.2843,4.7877,2.278,0.015942,0.83592,0.099036,53.515,44.832,62.93,53.667,24.615,60.979,22.376,41.431,43.183,50.9,47.772,41.655,15.676,0
94.585,77.406,32.5,8.9019,26.194,6.9477,18.103,1.6676,33.019,13.684,23.96,1.3239,18.542,2.2867,4.7809,2.3611,0.015942,0.83592,0.099036,53.515,44.832,63.435,54.03,20.131,61.064,22.755,41.17,34.625,49.078,47.905,40.196,16.765,0
94.579,77.324,32.5,8.9019,26.194,6.9477,18.103,1.6676,33.019,13.684,23.96,1.3239,18.542,2.2867,4.7809,2.3611,0.015942,0.83592,0.099036,53.515,44.832,62.653,54.349,20.03,61.679,22.379,40.683,37.885,44.99,48.035,41.492,18.859,0
94.633,76.963,32.204,8.7931,26.641,6.8675,18.862,1.6757,32.973,13.748,23.862,1.2991,18.598,2.2574,4.7831,2.2556,0.015942,0.83592,0.099036,53.515,44.832,63.039,55.397,21.622,61.401,22.142,38.192,40.289,48.224,48.209,40.974,16.875,0
94.765,77.369,32.204,8.7931,26.641,6.8675,18.862,1.6757,32.973,13.748,23.862,1.2991,18.598,2.2574,4.7831,2.2556,0.035616,0.85555,0.11256,54.32,43.701,62.187,54.702,21.716,61.094,22.474,38.167,37.926,45.732,48.132,40.876,18.114,0
94.631,77.213,32.592,8.742,26.593,6.8354,18.735,1.6703,33.33,13.73,23.926,1.3684,18.365,2.2488,4.8986,2.2863,0.035616,0.85555,0.11256,54.32,43.701,63.107,53.639,24.49,61.773,22.373,38.992,34.202,47.286,48.099,41.887,20.6,0
94.608,77.157,32.592,8.742,26.593,6.8354,18.735,1.6703,33.33,13.73,23.926,1.3684,18.365,2.2488,4.8986,2.2863,0.035616,0.85555,0.11256,54.32,43.701,63.337,53.903,24.35,60.931,22.634,38.807,30.982,46.089,48.038,40.521,15.214,0
94.581,77.436,32.502,8.8394,26.721,6.8501,19.083,1.6617,33.128,13.91,24.027,1.3727,18.314,2.2444,4.8749,2.3551,0.035616,0.85555,0.11256,54.32,43.701,63.401,54.312,20.308,61.448,22.269,38.94,40.014,44.705,47.794,40.805,17.771,0
94.608,77.247,32.502,8.8394,26.721,6.8501,19.083,1.6617,33.128,13.91,24.027,1.3727,18.314,2.2444,4.8749,2.3551,0.035616,0.85555,0.11256,54.32,43.701,63.64,54.118,20.393,62.031,22.585,38.779,41.716,41.815,48.194,41.12,17.089,0
94.547,77.594,31.964,8.8602,26.876,6.7582,18.421,1.6429,33.061,13.801,24.297,1.1848,18.153,2.2581,4.8179,2.1595,0.03116,0.82816,0.099155,54.435,43.539,63.323,53.777,21.11,60.446,22.54,41.58,45.573,46.629,48.371,41.473,17.912,0
94.551,77.131,31.964,8.8602,26.876,6.7582,18.421,1.6429,33.061,13.801,24.297,1.1848,18.153,2.2581,4.8179,2.1595,0.03116,0.82816,0.099155,54.435,43.539,63.025,53.775,21.061,61.996,22.542,40.781,37.578,44.367,48.523,41.241,19.823,0
94.564,77.189,32.287,8.8125,26.427,6.8391,19.121,1.685,33.138,13.739,23.489,1.1437,18.017,2.2592,4.8897,2.2932,0.03116,0.82816,0.099155,54.435,43.539,62.843,54.374,26.117,61.564,22.155,39.735,35.721,44.46,48.805,41.003,18.109,0
94.541,77.306,32.287,8.8125,26.427,6.8391,19.121,1.685,33.138,13.739,23.489,1.1437,18.017,2.2592,4.8897,2.2932,0.03116,0.82816,0.099155,54.435,43.539,63.417,54.382,26.062,61.248,22.242,39.572,35.082,39.915,49.087,41.39,18.442,0
94.574,77.126,31.96,8.8852,26.682,6.9986,18.761,1.647,32.703,13.735,24.254,1.3307,18.422,2.2795,4.8489,2.2718,0.03116,0.82816,0.099155,54.435,43.539,62.56,53.541,23.064,62.939,22.36,39.173,36.331,45.311,49.264,41.204,18.698,0
94.622,76.977,31.96,8.8852,26.682,6.9986,18.761,1.647,32.703,13.735,24.254,1.3307,18.422,2.2795,4.8489,2.2718,-0.003577,0.83293,0.10632,53.258,43.072,62.638,53.613,22.998,60.807,22.172,39.012,41.811,47.277,48.838,40.952,18.256,0
94.704,77.445,32.102,8.8482,26.314,6.9751,18.695,1.6566,32.945,13.871,24.146,1.36,18.411,2.3071,4.751,2.3013,-0.003577,0.83293,0.10632,53.258,43.072,62.776,53.699,26.086,61.065,22.23,38.244,35.749,43.97,48.787,41.181,16.606,0
94.698,77.227,32.102,8.8482,26.314,6.9751,18.695,1.6566,32.945,13.871,24.146,1.36,18.411,2.3071,4.751,2.3013,-0.003577,0.83293,0.10632,53.258,43.072,62.344,54.047,26.196,61.428,22.774,38.588,38.609,43.296,48.553,40.432,21.173,0
94.707,77.388,32.067,8.8618,26.374,6.8837,18.248,1.64,32.842,13.94,23.802,1.1476,18.702,2.2429,4.848,2.2361,-0.003577,0.83293,0.10632,53.258,43.072,62.535,54.432,24.849,63.254,22.612,40.298,41.495,47.096,48.602,40.844,18.382,0
94.672,77.525,32.067,8.8618,26.374,6.8837,18.248,1.64,32.842,13.94,23.802,1.1476,18.702,2.2429,4.848,2.2361,-0.003577,0.83293,0.10632,53.258,43.072,62.579,54.364,25.088,61.186,22.701,40.647,43.142,47.355,48.426,40.957,15.359,0
94.639,77.217,32.164,8.8989,26.656,6.904,18.714,1.6975,33.291,13.929,24.424,1.2847,19.184,2.2517,4.8089,2.3652,0.021111,0.81943,0.084679,53.737,43.922,63.353,54.238,25.361,61.162,22.426,41.195,37.8,44.561,48.48,41.398,19.471,0
94.641,77.301,32.164,8.8989,26.656,6.904,18.714,1.6975,33.291,13.929,24.424,1.2847,19.184,2.2517,4.8089,2.3652,0.021111,0.81943,0.084679,53.737,43.922,63.136,54.716,25.343,61.183,22.316,40.941,38.179,47.483,48.459,41.645,18.946,0
94.551,77.666,32.333,8.8576,26.377,6.7361,18.636,1.6422,33.277,13.997,23.9,1.3643,18.776,2.289,4.8097,2.2508,0.021111,0.81943,0.084679,53.737,43.922,62.694,53.956,24.504,61.925,22.675,41.134,37.841,48.192,48.608,41.209,18.232,0
94.52,77.527,32.333,8.8576,26.377,6.7361,18.636,1.6422,33.277,13.997,23.9,1.3643,18.776,2.289,4.8097,2.2508,0.021111,0.81943,0.084679,53.737,43.922,62.777,54.045,24.741,60.092,22.669,41.141,35.364,48.6,48.708,41.58,16.774,0
94.573,77.1,31.81,8.7448,26.444,6.868,18.608,1.6807,33.39,13.663,24.21,1.2538,18.621,2.3017,4.7753,2.2918,0.021111,0.81943,0.084679,53.737,43.922,63.53,54.127,22.675,59.881,22.329,42.517,40.878,46.726,48.552,40.866,19.874,0
94.472,77.468,31.81,8.7448,26.444,6.868,18.608,1.6807,33.39,13.663,24.21,1.2538,18.621,2.3017,4.7753,2.2918,0.011795,0.84089,0.10606,54.761,44.01,63.191,54.28,22.91,61.776,22.028,42.399,34.991,44.165,48.212,42.198,17.66,0
94.448,76.814,32.885,9.0306,26.614,6.9028,19.041,1.6439,33.208,13.768,23.885,1.1624,18.516,2.2764,4.8683,2.2892,0.011795,0.84089,0.10606,54.761,44.01,62.834,54.695,28.122,62.515,22.291,37.98,38.823,45.099,48.172,41.148,19.572,0
94.588,77.052,32.885,9.0306,26.614,6.9028,19.041,1.6439,33.208,13.768,23.885,1.1624,18.516,2.2764,4.8683,2.2892,0.011795,0.84089,0.10606,54.761,44.01,62.832,54.382,28.12,59.809,22.466,37.649,38.828,46.09,47.853,40.933,16.657,0
94.607,77.309,31.939,9.1606,27.046,6.886,18.867,1.6829,32.645,13.808,23.613,1.2086,17.827,2.263,4.7408,2.2912,0.011795,0.84089,0.10606,54.761,44.01,63.213,53.483,17.342,64.367,22.649,39.128,36.135,48.044,47.792,41.506,19.368,0
94.802,77.015,31.939,9.1606,27.046,6.886,18.867,1.6829,32.645,13.808,23.613,1.2086,17.827,2.263,4.7408,2.2912,0.011795,0.84089,0.10606,54.761,44.01,62.395,53.874,17.668,60.122,22.152,38.96,36.97,45.92,47.681,41.247,16.217,0
94.707,77.132,31.943,8.9664,26.375,6.8962,19.19,1.6249,32.74,13.87,23.875,1.368,18.518,2.2886,4.8455,2.3165,0.034456,0.84116,0.10163,53.723,43.252,62.707,53.704,26.281,61.937,22.048,40.091,35.616,48.415,47.866,40.485,16.76,0
94.62,77.442,31.943,8.9664,26.375,6.8962,19.19,1.6249,32.74,13.87,23.875,1.368,18.518,2.2886,4.8455,2.3165,0.034456,0.84116,0.10163,53.723,43.252,62.283,54.115,26.222,61.014,22.399,39.553,38.476,46.791,47.967,41.254,16.956,0
94.594,78.006,32.294,8.8614,26.098,6.8759,18.817,1.6456,32.881,13.815,23.654,1.2154,18.894,2.2175,4.8355,2.3328,0.034456,0.84116,0.10163,53.723,43.252,63.285,53.722,26.523,62.233,22.956,40.406,32.755,47.148,47.955,41.597,18.065,0
94.516,77.382,32.294,8.8614,26.098,6.8759,18.817,1.6456,32.881,13.815,23.654,1.2154,18.894,2.2175,4.8355,2.3328,0.034456,0.84116,0.10163,53.723,43.252,62.808,53.43,26.627,58.731,22.211,40.563,37.547,42.283,48.208,41.058,19.381,0
94.748,76.982,31.963,8.9707,26.518,6.9832,18.662,1.6481,32.586,13.788,24.051,1.2751,18.639,2.287,4.8082,2.2619,0.034456,0.84116,0.10163,53.723,43.252,63.125,54.134,23.48,60.277,22.137,39.799,34.637,51.263,48.2,40.59,15.945,0
